Name,ID,Gene,Cluster,Location,Strand,TiSS,TTS,Length,Exons,(i) dRNA.seq,(ii) cRNA.seq.peak,(iii) cRNA.seq.density,(iv) cRNA.seq.kinetic,(v) MinION,(vi) PacBio,(vii) Kinetic.4sU,(viii) Coverage.4sU,(ix) Orphan,Num.Criteria,Justification
UL29.5 RNA,UL29.5_RNA,UL29.5,UL29.5-UL30.6,JN555585-:58390-60552,-,60551,58390,2162,1,0,1,0,0,0,0,0,0,1,2,
UL29 RNA,UL29_RNA,UL29,UL29.5-UL30.6,JN555585-:58390-62314,-,62313,58390,3924,1,1,1,0,0,1,1,1,1,0,6,
UL30.5 RNA #1,UL30.5_RNA_#1,UL30.5,UL29.5-UL30.6,JN555585-:58390-63321,-,63320,58390,4931,1,1,0,0,0,0,0,0,0,1,2,
UL30.5 RNA,UL30.5_RNA,UL30.5,UL29.5-UL30.6,JN555585-:58390-63653,-,63652,58390,5263,1,1,0,0,0,0,0,0,0,1,2,
UL30.6 RNA,UL30.6_RNA,UL30.6,UL29.5-UL30.6,JN555585-:58390-65675,-,65674,58390,7285,1,0,1,0,0,0,0,0,0,0,1,Strong peak in both cRNA-seq replicates as well as a weak kinetic changes (increase late in infection) in both replicates.
UL31 RNA,UL31_RNA,UL31,UL31-UL32,JN555585-:66362-67458,-,67457,66362,1096,1,1,1,0,1,1,1,1,1,1,8,
UL32 RNA,UL32_RNA,UL32,UL31-UL32,JN555585-:66362-69220,-,69219,66362,2858,1,1,1,0,0,1,1,0,0,1,5,
"UL36 RNA #1 (orphan, may encode truncated isoform of UL36 CDS)",UL36_RNA_#1,UL36,UL36,JN555585-:70958-74803,-,74802,70958,3845,1,0,1,0,0,0,0,1,0,0,2,
UL36 RNA,UL36_RNA,UL36,UL36,JN555585-:70958-80472,-,80471,70958,9514,1,1,1,0,0,0,0,0,0,0,2,
UL37 RNA #1 (initiates downstream of TaSS of UL37 uoORF),UL37_RNA_#1,UL37,UL37-UL39.6,JN555585-:80690-84147,-,84146,80690,3457,1,1,0,0,0,1,0,0,0,1,3,
UL37 RNA,UL37_RNA,UL37,UL37-UL39.6,JN555585-:80690-84215,-,84214,80690,3525,1,0,1,0,0,0,1,1,1,1,5,
UL37.5 RNA #1,UL37.5_RNA_#1,UL37.5,UL37-UL39.6,JN555585-:80690-85203,-,85202,80690,4513,1,0,1,0,0,0,0,0,0,1,2,
UL37.5 RNA,UL37.5_RNA,UL37.5,UL37-UL39.6,JN555585-:80690-85414,-,85413,80690,4724,1,0,1,0,0,0,0,0,0,1,2,
UL37.6 RNA #1,UL37.6_RNA_#1,UL37.6,UL37-UL39.6,JN555585-:80690-85848,-,85847,80690,5158,1,0,0,0,0,0,0,1,0,1,2,
UL37.6 RNA,UL37.6_RNA,UL37.6,UL37-UL39.6,JN555585-:80690-86021,-,86020,80690,5331,1,1,0,0,0,0,0,1,0,1,3,
UL39.4 RNA,UL39.4_RNA,UL39.4,UL37-UL39.6,JN555585-:80690-88272,-,88271,80690,7582,1,1,0,0,0,0,0,0,0,1,2,
UL39.5 RNA,UL39.5_RNA,UL39.5,UL37-UL39.6,JN555585-:80690-88886,-,88885,80690,8196,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL39.5 ORF.
UL39.6 RNA,UL39.6_RNA,UL39.6,UL37-UL39.6,JN555585-:80690-90062,-,90061,80690,9372,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL39.6 ORF.
UL41 RNA #2 (encodes UL41 iORF),UL41_RNA_#2,UL41,UL41,JN555585-:91084-91844,-,91843,91084,760,1,1,0,0,0,1,1,0,0,1,4,
UL41 RNA #1 (encodes UL41 iORF),UL41_RNA_#1,UL41,UL41,JN555585-:91084-91877,-,91876,91084,793,1,1,0,0,0,0,1,0,0,1,3,
UL41 RNA (VHS),UL41_RNA,UL41,UL41,JN555585-:91084-92754,-,92753,91084,1670,1,1,1,0,0,1,1,0,0,1,5,
UL46 RNA (VP11/12),UL46_RNA,UL46,UL46-UL47,JN555585-:98708-100993,-,100992,98708,2285,1,1,1,1,1,1,1,1,1,1,9,
UL47 RNA #1 (VP13/14),UL47_RNA_#1,UL47,UL46-UL47,JN555585-:98708-103230,-,103229,98708,4522,1,1,0,0,0,0,0,0,0,1,2,
UL47 RNA (VP13/14),UL47_RNA,UL47,UL46-UL47,JN555585-:98708-103310,-,103309,98708,4602,1,1,1,0,0,1,1,0,0,1,5,
UL48 RNA #1 (VP16),UL48_RNA_#1,UL48,UL48,JN555585-:103512-105151,-,105150,103512,1639,1,1,0,0,0,0,1,1,0,1,4,
UL48 RNA (VP16),UL48_RNA,UL48,UL48,JN555585-:103512-105258,-,105257,103512,1746,1,1,1,1,0,1,1,0,0,1,6,
UL49 RNA,UL49_RNA,UL49,UL49-UL50.6,JN555585-:105440-106539,-,106538,105440,1099,1,1,1,0,1,1,1,1,1,1,8,
UL49.5 RNA (=UL49A),UL49.5_RNA,UL49.5,UL49-UL50.6,JN555585-:105440-107127,-,107126,105440,1687,1,1,1,0,0,1,1,0,1,1,6,
UL50.5 RNA,UL50.5_RNA,UL50.5,UL49-UL50.6,JN555585-:105440-107583,-,107582,105440,2143,1,1,0,0,0,0,0,1,0,1,3,
UL50.6 RNA,UL50.6_RNA,UL50.6,UL49-UL50.6,JN555585-:105440-108171,-,108170,105440,2731,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL50.6 sORF.
UL51 RNA #1,UL51_RNA_#1,UL51,UL51-UL54.5,JN555585-:108259-109168,-,109167,108259,909,1,1,0,0,0,1,1,0,0,0,3,
UL51 RNA,UL51_RNA,UL51,UL51-UL54.5,JN555585-:108259-109303,-,109302,108259,1044,1,1,1,0,0,1,1,1,1,1,7,
UL52.4 RNA,UL52.4_RNA,UL52.4,UL51-UL54.5,JN555585-:108259-109736,-,109735,108259,1477,1,0,0,0,0,0,0,0,0,1,1,Strong peak in both dRNA-seq replicates. Required for expression of UL52.4 sORF.
UL52.5 RNA,UL52.5_RNA,UL52.5,UL51-UL54.5,JN555585-:108259-112132,-,112131,108259,3873,1,1,1,0,0,0,1,1,0,1,5,
UL53.5 RNA,UL53.5_RNA,UL53.5,UL51-UL54.5,JN555585-:108259-113090,-,113089,108259,4831,1,1,0,0,0,0,0,1,1,1,4,
UL54.5 RNA (orphan),UL54.5_RNA,UL54.5,UL51-UL54.5,JN555585-:108259-115846,-,115845,108259,7587,1,0,1,0,0,0,0,0,0,0,1,Strong peak in both cRNA-seq replicates as well as a weak kinetic change (increase late in infection) in both replicates.
UL56 RNA,UL56_RNA,UL56,UL56-IRL3,JN555585-:116178-117084,-,117083,116178,906,1,0,1,0,0,1,1,1,1,1,6,
IRL3 RNA (orphan),IRL3_RNA,IRL3,UL56-IRL3,JN555585-:116178-117926,-,117925,116178,1748,1,1,0,0,0,0,0,0,1,0,2,
"AL-RNA (Perng et al., JVI 2002, not observed)",AL-RNA,AL-RNA,AL-RNA,JN555585-:117998-118959,-,118958,117998,961,1,0,0,0,0,0,0,0,0,0,0,"Observed by Perng et al., JVI 2002. No evidence for this TiSS in our data."
IRL2 RNA iso1 (with retained intron 1),IRL2_RNA_iso1,IRL2,IRL2-IRL1,JN555585-:120656-122487|122623-124256,-,124255,120656,3464,2,1,1,0,0,1,1,1,1,1,7,
"IRL2 RNA iso2 (NAGNAG, spliced)",IRL2_RNA_iso2,IRL2,IRL2-IRL1,JN555585-:120656-122484|122623-123290|124055-124256,-,124255,120656,2696,3,1,1,0,0,1,1,1,1,1,7,
IRL2 RNA (spliced),IRL2_RNA,IRL2,IRL2-IRL1,JN555585-:120656-122487|122623-123290|124055-124256,-,124255,120656,2699,3,1,1,0,0,1,1,1,1,1,7,
IRL1.5 RNA (spliced),IRL1.5_RNA,IRL1.5,IRL2-IRL1,JN555585-:120656-122487|122623-123290|124055-124623,-,124622,120656,3066,3,1,1,0,0,0,0,1,1,1,5,
IRL1 RNA (spliced),IRL1_RNA,IRL1,IRL2-IRL1,JN555585-:120656-122487|122623-123290|124055-125965,-,125964,120656,4408,3,1,1,0,0,0,0,0,1,1,4,
"IRS1 RNA #1 (orphan, may encode truncated isoform of IRS1 CDS)",IRS1_RNA_#1,IRS1,IRS1,JN555585-:127169-130841,-,130840,127169,3672,1,0,1,0,1,0,0,0,0,0,2,
IRS1 RNA,IRS1_RNA,IRS1,IRS1,JN555585-:127169-131430,-,131429,127169,4261,1,1,1,0,0,0,1,0,0,0,3,
US2 RNA,US2_RNA,US2,US2-US5.5,JN555585-:134020-135306,-,135305,134020,1286,1,1,1,0,0,1,1,1,1,0,6,
US3.6 RNA,US3.6_RNA,US3.6,US2-US5.5,JN555585-:134020-136668,-,136667,134020,2648,1,1,0,0,0,0,0,0,0,1,2,
US5.1 RNA (Jovasevic & Roizman Virol J 2010. not observed in TiSS or PacBio data; orphan),US5.1_RNA,US5.1,US2-US5.5,JN555585-:134020-137987,-,137986,134020,3967,1,0,0,0,0,0,0,0,0,0,0,Observed by Jovasevic & Roizman Virol J 2010. No evidence for this TiSS in our data.
US5.5 RNA (orphan),US5.5_RNA,US5.5,US2-US5.5,JN555585-:134020-138911,-,138910,134020,4891,1,1,0,0,0,0,0,0,0,1,2,
US10 RNA,US10_RNA,US10,US10-US12,JN555585-:144122-145169,-,145168,144122,1047,1,1,0,0,0,1,1,0,0,1,4,
US11 RNA,US11_RNA,US11,US10-US12,JN555585-:144122-145462,-,145461,144122,1340,1,1,0,0,0,1,1,1,1,1,6,
US12 RNA (spliced),US12_RNA,US12,US10-US12,JN555585-:144122-145653|145821-146067,-,146066,144122,1777,2,1,1,1,0,1,1,0,0,0,5,
